franchise_id,win,pf,pp,coach,all_play_wins,pf_rank,pp_rank,record_rank,all_play_rank,coach_rank,week,true_standing,true_rank
0023,2,1108.56,1251.76,-143.20000000000005,110,35,35,35,33,32,1,170,1
0036,2,968.16,1197.76,-229.60000000000002,132,33,31,33,36,19,1,152,2
0024,1,1081.6,1175.6,-94,110,34,27,21,32,35,1,149,3
0029,2,950.8,1120.8,-170,116,32,25,32,34,25,1,148,4
0011,2,1130.52,1418.88,-288.3600000000001,88,36,36,36,27,12,1,147,5
0034,2,909.84,1095.04,-185.19999999999993,122,30,23,31,35,24,1,143,6
0018,2,896.88,1198.08,-301.19999999999993,88,29,32,34,26,11,1,132,7
0021,1,943.6,1138.24,-194.64,98,31,26,20,29,23,1,129,8
0017,2,895.76,1014,-118.24000000000001,84,28,14,27,25,33,1,127,9
0012,2,885.2,1050,-164.79999999999995,70,26,20,30,19,26,1,121,10
0031,2,832.88,942.88,-110,100,22,8,26,31,34,1,121,11
0005,2,890.64,1046.56,-155.91999999999996,58,27,19,29,15,30,1,120,12
0030,1,839.76,1230.52,-390.76,100,23,33,22,30,4,1,112,13
0026,2,788.4,1028.8,-240.39999999999998,80,17,16,28,24,17,1,102,14
0022,1,813.36,1051.76,-238.39999999999998,80,21,21,18,22,18,1,100,15
0028,2,770,929.36,-159.36,80,15,7,25,23,28,1,98,16
0015,1,805.48,1246.16,-440.68000000000006,62,19,34,23,18,1,1,95,17
0033,1,797.68,1007.68,-210,96,18,12,16,28,20,1,94,18
0007,0,861.92,1176.72,-314.80000000000007,58,25,29,12,14,10,1,90,19
0014,0,811.96,1185.68,-373.72,62,20,30,13,17,5,1,85,20
0001,0,841.96,1095.44,-253.48000000000002,44,24,24,10,8,15,1,81,21
0025,1,746.24,953.04,-206.79999999999995,72,14,9,15,20,21,1,79,22
0002,2,735.92,893.52,-157.60000000000002,22,12,5,24,3,29,1,73,23
0013,0,738.72,1175.76,-437.03999999999996,46,13,28,11,12,3,1,67,24
0004,1,735.84,1056.32,-320.4799999999999,24,11,22,19,5,9,1,66,25
0010,0,773.92,1026.16,-252.24000000000012,46,16,15,7,11,16,1,65,26
0035,1,663.72,1009.96,-346.24,76,6,13,17,21,6,1,63,27
0008,1,700,898.16,-198.15999999999997,26,8,6,14,6,22,1,56,28
0032,0,0,0,0,62,1,1,1,16,36,1,55,29
0016,0,727.04,1003.96,-276.9200000000001,46,10,11,6,10,14,1,51,30
0006,0,706.16,1036.92,-330.7600000000001,24,9,18,9,4,8,1,48,31
0027,0,638.8,800.64,-161.84000000000003,56,4,2,2,13,27,1,48,32
0019,0,682.24,962.24,-280,46,7,10,5,9,13,1,44,33
0003,0,663.16,818.92,-155.76,10,5,3,3,1,31,1,43,34
0009,0,589.88,1028.96,-439.08000000000004,18,3,17,8,2,2,1,32,35
0020,0,512.28,850.96,-338.68000000000006,38,2,4,4,7,7,1,24,36
