"franchise_id","franchise_name","mfl","true","diff","faab_normal","faab_perc","faab"
"0001","Dortmund Cardinals",1603.25789581383,1605.10401162957,1.84611581573836,28.5436958590583,0.840060246199769,134
"0002","Wolftown Rocketeers",1262.10059619413,1382.08937557546,119.988779381332,146.686359424652,0.178067888332489,68
"0003","CTU Los Angeles",1784.25100409089,1762.62898663465,-21.6220174562409,5.07556258707905,0.971559946736278,147
"0004","Cleve Crusader",1796.08731893215,1843.49755048165,47.4102315494915,74.1078115928115,0.584749459237715,108
"0005","G-Town Pandas",1589.20905730382,1620.59766224987,31.3886049460561,58.0861849893761,0.674523923872065,117
"0006","Dexter Wolves",1527.63470803038,1587.36792439446,59.733216364079,86.4307964073989,0.515699705938034,102
"0007","Jena Dragons",2582.8767374672,2606.32032968357,23.4435922163771,50.141172259697,0.719042453854976,122
"0008","Dortmund Packers",1508.70819587301,1564.53468877579,55.8264929027789,82.5240729460988,0.53759036759766,104
"0009","Syke Steelers",1320.72007184073,1390.80960049802,70.0895286572877,96.7871087006076,0.457669868224203,96
"0010","Güstrow Racoons",1306.59813369559,1388.30510852232,81.7069748267299,108.40455487005,0.392573480941252,89
"0011","Flens Pirates ",2209.68750897196,2289.17533545877,79.4878264868112,106.185406530131,0.405008101912739,91
"0012","Wüterich Packers",1945.29285364504,1966.67588474529,21.38303110025,48.08061114357,0.730588458241759,123
"0013","Cologne Thunderkittens",1535.0454845538,1566.36559078247,31.3201062286616,58.0176862719816,0.674907744805759,117
"0014","Deevillage Moonwalkers",1974.40924369169,1971.99061339397,-2.4186302977223,24.2789497455976,0.863957027008234,136
"0015","Las Vegas Saints",1995.82648506051,2131.45255084857,135.626065788064,162.323645831384,0.0904470087398161,59
"0016","Wichita´s Hall of Fame Squad",1114.85880704117,1100.85348814216,-14.0053188990064,12.6922611443135,0.928881069479812,143
"0017","Nordic Wolves",2119.38699891181,2127.35985713494,7.97285822312915,34.6704382664491,0.805730085274777,131
"0018","Hintertupfingen Griffins",1177.98809359555,1228.2183574772,50.2302638816495,76.9278439249695,0.568947886829533,107
"0019","Dresden Jaguars",1421.6532788351,1500.33512560655,78.6818467714525,105.379426814772,0.409524272414238,91
"0020","Wandsbek Hogs",1499.61934064421,1571.77466790766,72.1553272634542,98.8529073067741,0.446094516451168,95
"0021","Munich Lions",2327.29265206449,2366.64892150217,39.3562694376842,66.0538494810041,0.629878468586729,113
"0022","M-V Lightning",2084.30752308462,2236.07524126046,151.767718175847,178.465298219167,0,50
"0023","Berlin Bears",1686.29014467192,1712.98756206626,26.6974173943408,53.3949974376608,0.70081019688159,120
"0024","Milano Raptors",1511.45454829349,1513.51482373171,2.06027543822302,28.7578554815429,0.838860239113676,134
"0025","Hannover Eagles",782.058298253434,789.703234709567,7.64493645613356,34.3425164994535,0.807567539223907,131
"0026","Red Raiders",1668.76066858468,1685.85429191608,17.0936233313967,43.7912033747166,0.754623426449336,125
"0027","Golden Skulls Göttingen",2100.34713630823,2175.45480115506,75.1076648468306,101.805244890151,0.429551594029629,93
"0028","German Cats",1558.18825671127,1549.65331126965,-8.53494544162368,18.1626346016963,0.89822876053253,140
"0029","D-Block Busters",1652.2236270208,1708.59614738312,56.3725203623192,83.0701004056391,0.534530795428791,103
"0030","Higglystadt Patriots",1026.40329866219,1098.92551486083,72.5222161986437,99.2197962419636,0.444038716590631,94
"0031","German Swans",1414.73985111548,1413.87314995158,-0.866701163897233,25.8308788794227,0.855261055582353,136
"0032","Newtown Patriots",1203.67409461418,1176.97651457086,-26.6975800433199,0,1,150
"0033","Auwald Woodpecker",2176.56201249498,2191.91216200483,15.350149509849,42.0477295531689,0.764392686013773,126
"0034","Fulda Jets",1239.81082811465,1330.55191973351,90.741091618866,117.438671662186,0.341952341244718,84
"0035","Güstrow Torros",817.129888553544,830.091389165681,12.9615006121372,39.6590806554572,0.777777074584252,128
"0036","Baratheon Boars",1631.12685600108,1658.53859859869,27.4117425976083,54.1093226409282,0.696807596878142,120
