"pick_value_raw","overall"
3.4684,1
3.3537,2
3.2398,3
3.1268,4
3.0147,5
2.9036,6
2.7934,7
2.6841,8
2.5758,9
2.4685,10
2.3622,11
2.2569,12
2.1526,13
2.0493,14
1.9471,15
1.8459,16
1.7458,17
1.6467,18
1.5487,19
1.4518,20
1.356,21
1.2614,22
1.1678,23
1.0754,24
0.9841,25
0.894,26
0.8051,27
0.7174,28
0.6308,29
0.5455,30
0.4614,31
0.3785,32
0.2969,33
0.2166,34
0.1376,35
0.0598,36
-0.0167,37
-0.0921,38
-0.1663,39
-0.2393,40
-0.3113,41
-0.3821,42
-0.4519,43
-0.5206,44
-0.5884,45
-0.6551,46
-0.7209,47
-0.7858,48
-0.8498,49
-0.9129,50
-0.9751,51
-1.0365,52
-1.0971,53
-1.157,54
-1.2161,55
-1.2745,56
-1.3322,57
-1.3892,58
-1.4456,59
-1.5014,60
-1.5566,61
-1.6113,62
-1.6654,63
-1.7178,64
-1.7672,65
-1.814,66
-1.8581,67
-1.8997,68
-1.939,69
-1.9762,70
-2.0113,71
-2.0445,72
-2.076,73
-2.1059,74
-2.1344,75
-2.1615,76
-2.1875,77
-2.2125,78
-2.2365,79
-2.2599,80
-2.2827,81
-2.305,82
-2.3271,83
-2.3489,84
-2.3708,85
-2.3929,86
-2.4152,87
-2.4379,88
-2.4612,89
-2.4853,90
-2.5102,91
-2.5361,92
-2.5631,93
-2.5915,94
-2.6213,95
-2.6516,96
-2.6816,97
-2.7112,98
-2.7405,99
-2.7694,100
-2.7981,101
-2.8266,102
-2.8549,103
-2.883,104
-2.911,105
-2.9389,106
-2.9667,107
-2.9945,108
-3.0223,109
-3.0501,110
-3.078,111
-3.106,112
-3.1342,113
-3.1624,114
-3.1909,115
-3.2197,116
-3.2487,117
-3.278,118
-3.3076,119
-3.3376,120
-3.368,121
-3.3988,122
-3.4301,123
-3.4618,124
-3.4941,125
-3.527,126
-3.5608,127
-3.5958,128
-3.6318,129
-3.6689,130
-3.7069,131
-3.7457,132
-3.7853,133
-3.8255,134
-3.8662,135
-3.9075,136
-3.9491,137
-3.991,138
-4.0331,139
-4.0754,140
-4.1177,141
-4.1599,142
-4.202,143
-4.2438,144
-4.2853,145
-4.3264,146
-4.367,147
-4.407,148
-4.4463,149
-4.4849,150
-4.5226,151
-4.5594,152
-4.5951,153
-4.6297,154
-4.6631,155
-4.6952,156
-4.7259,157
-4.7551,158
-4.7832,159
-4.8105,160
-4.8372,161
-4.8632,162
-4.8886,163
-4.9134,164
-4.9377,165
-4.9615,166
-4.9848,167
-5.0076,168
-5.03,169
-5.0521,170
-5.0738,171
-5.0952,172
-5.1163,173
-5.1372,174
-5.1579,175
-5.1784,176
-5.1988,177
-5.2191,178
-5.2393,179
-5.2595,180
-5.2798,181
-5.3,182
-5.3203,183
-5.3408,184
-5.3613,185
-5.3821,186
-5.4031,187
-5.4243,188
-5.4458,189
-5.4673,190
-5.4887,191
-5.5099,192
-5.5309,193
-5.5517,194
-5.5724,195
-5.5929,196
-5.6132,197
-5.6333,198
-5.6533,199
-5.6731,200
-5.6927,201
-5.7121,202
-5.7314,203
-5.7506,204
-5.7696,205
-5.7884,206
-5.8071,207
-5.8256,208
-5.844,209
-5.8622,210
-5.8803,211
-5.8982,212
-5.916,213
-5.9337,214
-5.9512,215
-5.9686,216
-5.9858,217
-6.0029,218
-6.0199,219
-6.0368,220
-6.0535,221
-6.0702,222
-6.0867,223
-6.103,224
-6.1193,225
-6.1355,226
-6.1515,227
-6.1674,228
-6.1832,229
-6.1988,230
-6.2143,231
-6.2297,232
-6.245,233
-6.2601,234
-6.2751,235
-6.2899,236
-6.3047,237
-6.3193,238
-6.3337,239
-6.348,240
-6.3622,241
-6.3762,242
-6.3901,243
-6.4038,244
-6.4174,245
-6.4308,246
-6.4441,247
-6.4572,248
-6.4702,249
-6.483,250
-6.4956,251
-6.5081,252
