"overall","vbd_pick_avg"
1,5.57625666666667
2,6.43232083333333
3,8.35177083333333
4,-0.468141666666667
5,2.75748666666667
6,2.80551666666667
7,4.63604
8,4.23792
9,6.578
10,3.5014
11,2.26935
12,3.57779
13,1.41618333333333
14,1.25813
15,-0.0368433333333337
16,-0.667203333333334
17,-3.58080333333333
18,2.38440666666667
19,0.318316666666666
20,0.22398
21,0.998326666666666
22,4.13979666666667
23,3.43345
24,3.48218333333333
25,2.93399666666667
26,-0.579336666666667
27,3.46721333333333
28,-2.33497666666667
29,-1.59206666666667
30,-0.359266666666667
31,-0.788633333333334
32,-2.43913333333333
33,-0.616893333333334
34,1.29294666666667
35,-0.469393333333333
36,-2.39366666666667
37,-0.174666666666667
38,-2.55345
39,-0.937516666666667
40,-0.515183333333333
41,0.606293333333333
42,-2.97583333333333
43,-0.508133333333334
44,0.47851
45,-2.7335
46,-0.398383333333334
47,-2.61367333333333
48,0.358696666666667
49,-2.70985333333333
50,-1.55582333333333
51,-0.283103333333334
52,-3.75004
53,-1.0819375
54,0.96756
55,-1.90015
56,-3.21947
57,-4.53983333333333
58,-3.9826
59,-1.36457333333333
60,-1.97332333333333
61,-4.07464
62,-3.3862
63,2.32101
64,-2.59852
65,-0.21409
66,-7.4652
67,-2.36620333333333
68,-2.44862
69,-4.39262
70,-0.58765
71,0.206553333333333
72,0.21812
73,-1.44333
74,-0.64823
75,-1.08273666666667
76,-3.34225
77,-3.77557
78,-1.77634666666667
79,-2.95305
80,-2.38345833333333
81,-2.17851666666667
82,-0.477616666666667
83,-5.443
84,-3.13108
85,3.53866333333333
86,0.909
87,-0.0164866666666669
88,0.0874166666666665
89,-1.19748666666667
90,-0.232686666666667
91,-3.81791666666667
92,-3.01026666666667
93,-1.44546666666667
94,-3.66242
95,-4.38662
96,-2.18754166666667
97,-0.707833333333333
98,-3.63708333333333
99,-2.26764
100,-2.35265333333333
101,-3.78205666666667
102,-3.05985333333333
103,-3.26071333333333
104,-3.75546666666667
105,-4.43223333333333
106,-3.70258
107,-3.35714
108,-3.01098666666667
109,-3.63051
110,-3.70194666666667
111,-5.5245
112,-6.6206
113,-2.95638333333333
114,-3.80927
115,-6.07288333333333
116,-2.7435625
117,-2.46620333333333
118,-3.49357
119,-1.95648
120,-1.71458666666667
121,-5.09914666666667
122,-4.101
123,-1.18133
124,-1.622
125,-1.4881
126,-1.41663333333333
127,-6.07763333333333
128,0.103599999999999
129,-2.976775
130,-3.9524625
131,-2.64865
132,-0.14575
133,-3.92480666666667
134,-2.05088333333333
135,-4.83994666666667
136,-6.41031666666667
137,-5.00721333333333
138,-2.15993333333333
139,-4.32973
140,-3.97814666666667
141,-1.5967125
142,-7.18223333333333
143,-0.80955
144,-3.21155666666667
145,-8.09595
146,-7.54104
147,-6.755625
148,-5.12944
149,-4.09988
150,-4.12291
151,-4.80465
152,-4.14176666666667
153,-3.71362
154,-5.9328
155,-4.257
156,-5.078825
157,-4.85166666666667
158,-3.30635
159,-3.26106666666667
160,-6.59486666666667
161,-1.92458
162,-4.44145
163,-1.4206
164,-3.06696666666667
165,-4.48053333333333
166,-6.33490666666667
167,-10.4115208333333
168,-8.937925
169,-3.411475
170,-3.4704
171,-4.62668333333333
172,-2.17425
173,-7.62746666666667
174,-5.57025
175,-4.147575
176,-5.2494
177,-7.84975
178,-6.2359125
179,-7.7928125
180,-3.56400333333333
181,-6.33693333333333
182,-4.00083333333333
183,-6.89673333333333
184,-5.54840333333333
185,-7.775
186,-5.25553333333333
187,-6.65284333333333
188,-6.75403333333333
189,-5.21998333333333
190,-4.7358625
191,-7.2861
192,-6.14919
193,-4.09112666666667
194,-6.39585
195,-3.58326666666667
196,-4.52481666666667
197,-6.29049333333333
198,-5.37604
199,-5.66904666666667
200,-5.8136
201,-5.62517333333333
202,-5.47746
203,-2.68266666666667
204,-5.16625666666667
205,-1.5175
206,-7.2406625
207,-4.68522916666667
208,-5.234125
209,-7.12381
210,-7.946125
211,-6.2545
212,-6.15013333333333
213,-8.270875
214,-8.39120833333333
215,-6.16014666666667
216,-6.03682666666667
217,-6.07865
218,-3.90582666666667
219,-4.52124333333333
220,-6.51354166666667
221,-7.65073333333333
222,-4.55795
223,-7.3537
224,-1.40598333333333
225,-7.72267916666667
226,-2.05694
227,-3.48983333333333
228,-7.9530625
229,-5.97925
230,-3.16166666666667
231,-4.93123333333333
232,-4.56181666666667
233,-8.4095
234,-2.67991666666667
235,-5.83886666666667
236,-8.577625
237,-3.42700833333333
238,-7.21759166666667
239,-4.24243666666667
240,-12.0012
241,-7.1811
242,-4.97371666666667
243,-6.30804166666667
244,-8.8443125
245,-4.09866666666667
246,-6.11015
247,-5.1066
248,-5.19849333333333
249,-10.85428
250,-9.531125
251,-8.53670666666667
252,-5.963
